,Title,Metascore,tomatoMeter,tomatoUserMeter,scaledIMDb,Mean_Rating
15930,Todo por la pasta,,,,62.44691988527448,62.44691988527448
31852,Walk a Crooked Mile,,,,62.44691988527448,62.44691988527448
21190,Hitonatsu no taiken: aoi sangosho,,,,62.446765505943,62.446765505943
35615,Panserbasse,,,,62.446765505943,62.446765505943
15472,Chatarra,,,,62.446765505943,62.446765505943
36009,To Beat the Band,,,,62.446765505943,62.446765505943
30075,Main Street to Broadway,,,,62.446765505943,62.446765505943
11449,Dinner for Two,,,,62.446765505943,62.446765505943
37021,Voruntersuchung,,,,62.446765505943,62.446765505943
34525,Hobo Gadget Band,,,,62.446765505943,62.446765505943
33926,Respect the Law,,,,62.446765505943,62.446765505943
29259,Amalfi Way,,,,62.446765505943,62.446765505943
36305,When My Ship Comes In,,,,62.446765505943,62.446765505943
27187,Pent-House Mouse,,,,62.446634859837445,62.446634859837445
37451,Opus IV,,,,62.44635019772155,62.44635019772155
19820,Girls on Fire,,,,62.44608878996824,62.44608878996824
29370,I'm No Fool with Fire,,,,62.44608878996824,62.44608878996824
31664,Guns of Hate,,,,62.44608878996824,62.44608878996824
14373,"Mario, Maria e Mario",,,,62.44608878996824,62.44608878996824
23293,Bobolink Pink,,,,62.44608878996824,62.44608878996824
32900,One Mysterious Night,,,,62.44606589823256,62.44606589823256
11960,Rumori di fondo,,,,62.44599517359787,62.44599517359787
17795,S'il vous plait,,,,62.44599517359787,62.44599517359787
13589,Mil e Uma,,,,62.44599517359787,62.44599517359787
35722,Who's Looney Now,,,,62.44599517359787,62.44599517359787
19806,Ennenstadt Europa - Om Lars von Trier og 'Forbrydelsens element',,,,62.44599517359787,62.44599517359787
23093,Loma,,,,62.44534381322338,62.44534381322338
29877,Up to His Neck,,,,62.44533196209744,62.44533196209744
34022,Viimeinen vieras,,,,62.44533196209744,62.44533196209744
1336,Screw,,,,62.44533196209744,62.44533196209744
25475,Scream Free!,,,,62.44533196209744,62.44533196209744
1735,Apparatspott - Gerangel in Ruum un Tied,,,,62.44533196209744,62.44533196209744
13259,Confessions of a Hitman,,,,62.445066096340256,62.445066096340256
7590,4 a.m.: Open All Night,,,,62.445066096340256,62.445066096340256
34690,They All Come Out,,,,62.44499888824918,62.44499888824918
33265,There's Something About a Soldier,,,,62.44499888824918,62.44499888824918
37488,Yukon Jake,,,,62.44499888824918,62.44499888824918
11073,Taylor's Return,,,,62.44499888824918,62.44499888824918
9871,Slidin' - Alles bunt und wunderbar,,,,62.44499888824918,62.44499888824918
31569,Angel on the Amazon,,,,62.44499888824918,62.44499888824918
19146,69 Park Avenue,,,,62.44468245785513,62.44468245785513
10770,Mr. Condom,,,,62.44468245785513,62.44468245785513
34340,Sporting Blood,,,,62.444649816015946,62.444649816015946
20736,Ggobangdongne saramdeul,,,,62.44451817933366,62.44451817933366
16231,Harbour Beat,,,,62.44451817933366,62.44451817933366
1426,Steam Cloud Rising,,,,62.44443719546631,62.44443719546631
1537,Un jour ordinaire pas comme les autres,,,,62.44443719546631,62.44443719546631
34856,Heimat,,,,62.44443719546631,62.44443719546631
21455,Agee,,,,62.44443719546631,62.44443719546631
20911,Ruki vverkh!,,,,62.44443719546631,62.44443719546631
35847,Hail Columbia,,,,62.44443719546631,62.44443719546631
26341,Mayores con reparos,,,,62.44443719546631,62.44443719546631
37122,Near the Rainbow's End,,,,62.44410890710866,62.44410890710866
27012,Youngblood Hawke,,,,62.44408589741606,62.44408589741606
36507,Old King Cole,,,,62.44408589741606,62.44408589741606
31550,Without Honor,,,,62.444044848215626,62.444044848215626
34881,Jimmy Dorsey and His Orchestra,,,,62.444044848215626,62.444044848215626
33378,Dernier atout,,,,62.444044848215626,62.444044848215626
25733,Negatives,,,,62.444044848215626,62.444044848215626
7095,Old No. 587: The Great Train Robbery,,,,62.444044848215626,62.444044848215626
13917,Visite,,,,62.443864009008934,62.443864009008934
19987,Preferans po Pyatnitsam,,,,62.443864009008934,62.443864009008934
